day,L,M,S
0,1,33.8787,0.03496
1,1,33.975,0.03479
2,1,34.0714,0.03461
3,1,34.1677,0.03444
4,1,34.264,0.03426
5,1,34.3603,0.03409
6,1,34.4566,0.03391
7,1,34.5529,0.03374
8,1,34.6493,0.03356
9,1,34.7456,0.03339
10,1,34.8419,0.03321
11,1,34.9382,0.03304
12,1,35.0345,0.03286
13,1,35.1309,0.03269
14,1,35.2272,0.03251
15,1,35.3211,0.03248
16,1,35.413,0.03245
17,1,35.5028,0.03242
18,1,35.5906,0.03239
19,1,35.6766,0.03236
20,1,35.7607,0.03233
21,1,35.843,0.03231
22,1,35.9237,0.03228
23,1,36.0028,0.03226
24,1,36.0803,0.03223
25,1,36.1563,0.03221
26,1,36.2309,0.03219
27,1,36.3042,0.03217
28,1,36.3761,0.03215
29,1,36.4468,0.03213
30,1,36.5163,0.03211
31,1,36.5846,0.03209
32,1,36.6519,0.03207
33,1,36.718,0.03206
34,1,36.7831,0.03204
35,1,36.8472,0.03202
36,1,36.9104,0.032
37,1,36.9726,0.03199
38,1,37.034,0.03197
39,1,37.0945,0.03196
40,1,37.1541,0.03194
41,1,37.213,0.03193
42,1,37.2711,0.03191
43,1,37.3284,0.0319
44,1,37.3851,0.03188
45,1,37.4411,0.03187
46,1,37.4964,0.03186
47,1,37.551,0.03184
48,1,37.605,0.03183
49,1,37.6584,0.03182
50,1,37.7112,0.0318
51,1,37.7635,0.03179
52,1,37.8152,0.03178
53,1,37.8663,0.03177
54,1,37.9169,0.03176
55,1,37.9671,0.03174
56,1,38.0167,0.03173
57,1,38.0658,0.03172
58,1,38.1145,0.03171
59,1,38.1628,0.0317
60,1,38.2106,0.03169
61,1,38.258,0.03168
62,1,38.305,0.03167
63,1,38.3516,0.03166
64,1,38.3978,0.03164
65,1,38.4437,0.03163
66,1,38.4891,0.03162
67,1,38.5342,0.03161
68,1,38.5789,0.0316
69,1,38.6233,0.03159
70,1,38.6673,0.03158
71,1,38.711,0.03158
72,1,38.7543,0.03157
73,1,38.7973,0.03156
74,1,38.84,0.03155
75,1,38.8823,0.03154
76,1,38.9244,0.03153
77,1,38.9661,0.03152
78,1,39.0075,0.03151
79,1,39.0487,0.0315
80,1,39.0895,0.03149
81,1,39.1301,0.03149
82,1,39.1704,0.03148
83,1,39.2104,0.03147
84,1,39.2501,0.03146
85,1,39.2896,0.03145
86,1,39.3288,0.03144
87,1,39.3677,0.03144
88,1,39.4064,0.03143
89,1,39.4448,0.03142
90,1,39.483,0.03141
91,1,39.521,0.0314
92,1,39.5587,0.0314
93,1,39.5962,0.03139
94,1,39.6335,0.03138
95,1,39.6705,0.03137
96,1,39.7073,0.03137
97,1,39.7438,0.03136
98,1,39.7802,0.03135
99,1,39.8163,0.03134
100,1,39.8522,0.03134
101,1,39.8879,0.03133
102,1,39.9233,0.03132
103,1,39.9586,0.03131
104,1,39.9936,0.03131
105,1,40.0284,0.0313
106,1,40.063,0.03129
107,1,40.0974,0.03129
108,1,40.1316,0.03128
109,1,40.1656,0.03127
110,1,40.1994,0.03127
111,1,40.233,0.03126
112,1,40.2664,0.03125
113,1,40.2995,0.03125
114,1,40.3325,0.03124
115,1,40.3653,0.03123
116,1,40.3979,0.03123
117,1,40.4303,0.03122
118,1,40.4625,0.03121
119,1,40.4946,0.03121
120,1,40.5264,0.0312
121,1,40.5581,0.0312
122,1,40.5895,0.03119
123,1,40.6208,0.03118
124,1,40.6519,0.03118
125,1,40.6829,0.03117
126,1,40.7136,0.03117
127,1,40.7442,0.03116
128,1,40.7746,0.03115
129,1,40.8048,0.03115
130,1,40.8348,0.03114
131,1,40.8647,0.03114
132,1,40.8944,0.03113
133,1,40.9239,0.03112
134,1,40.9533,0.03112
135,1,40.9824,0.03111
136,1,41.0115,0.03111
137,1,41.0403,0.0311
138,1,41.069,0.0311
139,1,41.0975,0.03109
140,1,41.1259,0.03108
141,1,41.1541,0.03108
142,1,41.1821,0.03107
143,1,41.21,0.03107
144,1,41.2378,0.03106
145,1,41.2653,0.03106
146,1,41.2927,0.03105
147,1,41.32,0.03105
148,1,41.3471,0.03104
149,1,41.3741,0.03104
150,1,41.4009,0.03103
151,1,41.4275,0.03103
152,1,41.454,0.03102
153,1,41.4804,0.03102
154,1,41.5066,0.03101
155,1,41.5327,0.03101
156,1,41.5586,0.031
157,1,41.5844,0.03099
158,1,41.61,0.03099
159,1,41.6355,0.03098
160,1,41.6609,0.03098
161,1,41.6861,0.03098
162,1,41.7112,0.03097
163,1,41.7362,0.03097
164,1,41.761,0.03096
165,1,41.7857,0.03096
166,1,41.8102,0.03095
167,1,41.8346,0.03095
168,1,41.8589,0.03094
169,1,41.8831,0.03094
170,1,41.9071,0.03093
171,1,41.931,0.03093
172,1,41.9548,0.03092
173,1,41.9784,0.03092
174,1,42.0019,0.03091
175,1,42.0253,0.03091
176,1,42.0485,0.0309
177,1,42.0717,0.0309
178,1,42.0947,0.03089
179,1,42.1176,0.03089
180,1,42.1403,0.03089
181,1,42.163,0.03088
182,1,42.1855,0.03088
183,1,42.2079,0.03087
184,1,42.2302,0.03087
185,1,42.2523,0.03086
186,1,42.2744,0.03086
187,1,42.2963,0.03085
188,1,42.3181,0.03085
189,1,42.3398,0.03085
190,1,42.3614,0.03084
191,1,42.3829,0.03084
192,1,42.4042,0.03083
193,1,42.4255,0.03083
194,1,42.4466,0.03082
195,1,42.4676,0.03082
196,1,42.4885,0.03082
197,1,42.5093,0.03081
198,1,42.53,0.03081
199,1,42.5506,0.0308
200,1,42.5711,0.0308
