day,L,M,S
0,1,49.8842,0.03795
1,1,50.0601,0.03785
2,1,50.2359,0.03775
3,1,50.4118,0.03764
4,1,50.5876,0.03754
5,1,50.7635,0.03744
6,1,50.9393,0.03734
7,1,51.1152,0.03723
8,1,51.291,0.03713
9,1,51.4669,0.03703
10,1,51.6427,0.03693
11,1,51.8186,0.03682
12,1,51.9944,0.03672
13,1,52.1702,0.03662
14,1,52.3461,0.03652
15,1,52.4978,0.03645
16,1,52.6488,0.03639
17,1,52.799,0.03633
18,1,52.9483,0.03627
19,1,53.0967,0.03621
20,1,53.2441,0.03615
21,1,53.3905,0.03609
22,1,53.536,0.03603
23,1,53.6805,0.03597
24,1,53.8239,0.03592
25,1,53.9664,0.03586
26,1,54.1079,0.03581
27,1,54.2485,0.03575
28,1,54.3881,0.0357
29,1,54.5268,0.03565
30,1,54.6645,0.03559
31,1,54.8012,0.03554
32,1,54.9368,0.03549
33,1,55.0714,0.03544
34,1,55.2049,0.03539
35,1,55.3374,0.03534
36,1,55.4688,0.03529
37,1,55.5992,0.03524
38,1,55.7285,0.0352
39,1,55.8568,0.03515
40,1,55.9841,0.0351
41,1,56.1104,0.03506
42,1,56.2357,0.03501
43,1,56.3599,0.03496
44,1,56.4833,0.03492
45,1,56.6056,0.03488
46,1,56.7269,0.03483
47,1,56.8472,0.03479
48,1,56.9666,0.03475
49,1,57.0851,0.0347
50,1,57.2026,0.03466
51,1,57.3192,0.03462
52,1,57.4349,0.03458
53,1,57.5497,0.03454
54,1,57.6637,0.0345
55,1,57.7767,0.03446
56,1,57.8889,0.03442
57,1,58.0003,0.03438
58,1,58.1109,0.03434
59,1,58.2207,0.03431
60,1,58.3299,0.03427
61,1,58.4384,0.03423
62,1,58.5463,0.0342
63,1,58.6536,0.03416
64,1,58.7603,0.03412
65,1,58.8664,0.03409
66,1,58.9718,0.03405
67,1,59.0766,0.03402
68,1,59.1808,0.03398
69,1,59.2843,0.03395
70,1,59.3872,0.03392
71,1,59.4894,0.03388
72,1,59.591,0.03385
73,1,59.692,0.03382
74,1,59.7923,0.03379
75,1,59.892,0.03375
76,1,59.991,0.03372
77,1,60.0894,0.03369
78,1,60.1872,0.03366
79,1,60.2843,0.03363
80,1,60.3808,0.0336
81,1,60.4767,0.03357
82,1,60.5719,0.03354
83,1,60.6665,0.03351
84,1,60.7605,0.03348
85,1,60.8539,0.03345
86,1,60.9466,0.03342
87,1,61.0388,0.0334
88,1,61.1303,0.03337
89,1,61.2212,0.03334
90,1,61.3115,0.03331
91,1,61.4013,0.03329
92,1,61.4904,0.03326
93,1,61.579,0.03323
94,1,61.667,0.03321
95,1,61.7543,0.03318
96,1,61.8411,0.03316
97,1,61.9274,0.03313
98,1,62.013,0.03311
99,1,62.0981,0.03308
100,1,62.1826,0.03306
101,1,62.2665,0.03303
102,1,62.3499,0.03301
103,1,62.4327,0.03298
104,1,62.5149,0.03296
105,1,62.5966,0.03294
106,1,62.6778,0.03291
107,1,62.7584,0.03289
108,1,62.8384,0.03287
109,1,62.918,0.03284
110,1,62.9969,0.03282
111,1,63.0754,0.0328
112,1,63.1533,0.03278
113,1,63.2307,0.03276
114,1,63.3076,0.03273
115,1,63.3839,0.03271
116,1,63.4598,0.03269
117,1,63.5351,0.03267
118,1,63.6099,0.03265
