day,L,M,S
0,0.3809,3.2322,0.14171
1,0.3259,3.1957,0.14578
2,0.3101,3.2104,0.14637
3,0.2986,3.2315,0.14657
4,0.2891,3.2558,0.14658
5,0.281,3.2821,0.14646
6,0.2737,3.3099,0.14626
7,0.2671,3.3388,0.146
8,0.2609,3.3687,0.14569
9,0.2551,3.3995,0.14534
10,0.2497,3.4314,0.14498
11,0.2446,3.4643,0.14459
12,0.2397,3.4983,0.1442
13,0.2349,3.5333,0.1438
14,0.2304,3.5693,0.14339
15,0.226,3.6063,0.14299
16,0.2218,3.6438,0.14258
17,0.2177,3.6818,0.14218
18,0.2137,3.7201,0.14177
19,0.2099,3.7584,0.14138
20,0.2061,3.7968,0.14098
21,0.2024,3.8352,0.1406
22,0.1989,3.8735,0.14021
23,0.1954,3.9116,0.13984
24,0.1919,3.9495,0.13947
25,0.1886,3.9872,0.1391
26,0.1853,4.0247,0.13875
27,0.1821,4.0618,0.1384
28,0.1789,4.0987,0.13805
29,0.1758,4.1353,0.13771
30,0.1727,4.1716,0.13738
31,0.1697,4.2075,0.13706
32,0.1668,4.2431,0.13674
33,0.1638,4.2783,0.13643
34,0.161,4.3131,0.13613
35,0.1582,4.3476,0.13583
36,0.1554,4.3818,0.13554
37,0.1526,4.4155,0.13526
38,0.1499,4.449,0.13498
39,0.1473,4.482,0.1347
40,0.1446,4.5148,0.13444
41,0.142,4.5472,0.13418
42,0.1395,4.5793,0.13392
43,0.1369,4.611,0.13367
44,0.1344,4.6425,0.13342
45,0.132,4.6736,0.13318
46,0.1295,4.7044,0.13295
47,0.1271,4.7349,0.13272
48,0.1247,4.7651,0.1325
49,0.1224,4.795,0.13228
50,0.12,4.8245,0.13206
51,0.1177,4.8538,0.13185
52,0.1154,4.8828,0.13165
53,0.1132,4.9115,0.13145
54,0.1109,4.9399,0.13125
55,0.1087,4.968,0.13106
56,0.1065,4.9959,0.13087
57,0.1044,5.0235,0.13068
58,0.1022,5.0509,0.1305
59,0.1001,5.078,0.13033
60,0.098,5.1049,0.13015
61,0.0959,5.1315,0.12998
62,0.0938,5.158,0.12982
63,0.0918,5.1842,0.12966
64,0.0897,5.2102,0.1295
65,0.0877,5.236,0.12934
66,0.0857,5.2616,0.12919
67,0.0838,5.287,0.12904
68,0.0818,5.3121,0.12889
69,0.0798,5.337,0.12875
70,0.0779,5.3618,0.12861
71,0.076,5.3863,0.12847
72,0.0741,5.4107,0.12834
73,0.0722,5.4348,0.12821
74,0.0704,5.4587,0.12808
75,0.0685,5.4825,0.12795
76,0.0667,5.5061,0.12783
77,0.0648,5.5295,0.1277
78,0.063,5.5527,0.12758
79,0.0612,5.5757,0.12747
80,0.0595,5.5986,0.12735
81,0.0577,5.6213,0.12724
82,0.0559,5.6438,0.12713
83,0.0542,5.6662,0.12702
84,0.0525,5.6883,0.12691
85,0.0508,5.7104,0.12681
86,0.049,5.7322,0.12671
87,0.0474,5.7539,0.1266
88,0.0457,5.7755,0.12651
89,0.044,5.7969,0.12641
90,0.0424,5.8181,0.12631
91,0.0407,5.8393,0.12622
92,0.0391,5.8602,0.12613
93,0.0375,5.881,0.12604
94,0.0358,5.9017,0.12595
95,0.0342,5.9223,0.12586
96,0.0327,5.9427,0.12577
97,0.0311,5.9629,0.12569
98,0.0295,5.9831,0.12561
99,0.0279,6.0031,0.12553
100,0.0264,6.0229,0.12545
101,0.0249,6.0426,0.12537
102,0.0233,6.0622,0.12529
103,0.0218,6.0817,0.12522
104,0.0203,6.101,0.12514
105,0.0188,6.1202,0.12507
106,0.0173,6.1393,0.125
107,0.0158,6.1582,0.12493
108,0.0144,6.1771,0.12486
109,0.0129,6.1958,0.12479
110,0.0114,6.2143,0.12472
111,0.01,6.2328,0.12466
112,0.0086,6.2511,0.12459
113,0.0071,6.2693,0.12453
114,0.0057,6.2874,0.12447
115,0.0043,6.3054,0.12441
116,0.0029,6.3232,0.12435
117,0.0015,6.341,0.12429
118,0.0001,6.3586,0.12423
119,-0.0013,6.3761,0.12417
120,-0.0026,6.3935,0.12412
121,-0.004,6.4108,0.12406
122,-0.0053,6.428,0.12401
123,-0.0067,6.445,0.12395
124,-0.008,6.462,0.1239
125,-0.0094,6.4788,0.12385
126,-0.0107,6.4956,0.1238
127,-0.012,6.5122,0.12375
128,-0.0133,6.5288,0.1237
129,-0.0146,6.5452,0.12365
130,-0.0159,6.5615,0.1236
131,-0.0172,6.5777,0.12355
132,-0.0185,6.5939,0.12351
133,-0.0198,6.6099,0.12346
134,-0.021,6.6258,0.12342
135,-0.0223,6.6416,0.12337
136,-0.0235,6.6573,0.12333
137,-0.0248,6.6729,0.12329
138,-0.026,6.6884,0.12325
139,-0.0273,6.7039,0.12321
140,-0.0285,6.7192,0.12317
141,-0.0297,6.7344,0.12313
142,-0.0309,6.7495,0.12309
143,-0.0321,6.7646,0.12305
144,-0.0333,6.7795,0.12301
145,-0.0345,6.7944,0.12298
146,-0.0357,6.8091,0.12294
147,-0.0369,6.8238,0.12291
148,-0.0381,6.8384,0.12287
149,-0.0393,6.8529,0.12284
150,-0.0404,6.8673,0.12281
151,-0.0416,6.8816,0.12277
152,-0.0428,6.8959,0.12274
153,-0.0439,6.91,0.12271
154,-0.045,6.9241,0.12268
155,-0.0462,6.9381,0.12265
156,-0.0473,6.952,0.12262
157,-0.0484,6.9659,0.12259
158,-0.0496,6.9797,0.12256
159,-0.0507,6.9934,0.12254
160,-0.0518,7.007,0.12251
161,-0.0529,7.0205,0.12248
162,-0.054,7.034,0.12246
163,-0.0551,7.0474,0.12243
164,-0.0562,7.0607,0.12241
165,-0.0573,7.074,0.12238
166,-0.0583,7.0872,0.12236
167,-0.0594,7.1003,0.12234
168,-0.0605,7.1133,0.12231
169,-0.0615,7.1263,0.12229
170,-0.0626,7.1393,0.12227
171,-0.0637,7.1521,0.12225
172,-0.0647,7.1649,0.12223
173,-0.0658,7.1776,0.12221
174,-0.0668,7.1903,0.12219
175,-0.0678,7.2029,0.12217
176,-0.0689,7.2154,0.12215
177,-0.0699,7.2279,0.12214
178,-0.0709,7.2403,0.12212
179,-0.0719,7.2527,0.1221
180,-0.0729,7.265,0.12208
181,-0.0739,7.2772,0.12207
182,-0.0749,7.2894,0.12205
183,-0.0759,7.3016,0.12204
184,-0.0769,7.3136,0.12202
185,-0.0779,7.3256,0.12201
186,-0.0789,7.3376,0.122
187,-0.0799,7.3495,0.12198
188,-0.0808,7.3614,0.12197
189,-0.0818,7.3732,0.12196
190,-0.0828,7.3849,0.12195
191,-0.0837,7.3966,0.12194
192,-0.0847,7.4082,0.12192
193,-0.0857,7.4198,0.12191
194,-0.0866,7.4314,0.1219
195,-0.0875,7.4429,0.12189
196,-0.0885,7.4543,0.12188
197,-0.0894,7.4657,0.12188
198,-0.0904,7.477,0.12187
199,-0.0913,7.4883,0.12186
200,-0.0922,7.4995,0.12185
201,-0.0931,7.5107,0.12184
202,-0.094,7.5219,0.12184
203,-0.095,7.533,0.12183
204,-0.0959,7.544,0.12182
205,-0.0968,7.5551,0.12182
206,-0.0977,7.566,0.12181
207,-0.0986,7.5769,0.12181
208,-0.0995,7.5878,0.1218
209,-0.1003,7.5986,0.1218
210,-0.1012,7.6094,0.12179
211,-0.1021,7.6202,0.12179
212,-0.103,7.6309,0.12179
213,-0.1039,7.6416,0.12178
214,-0.1047,7.6522,0.12178
215,-0.1056,7.6628,0.12178
216,-0.1065,7.6733,0.12177
217,-0.1073,7.6838,0.12177
218,-0.1082,7.6943,0.12177
219,-0.109,7.7047,0.12177
220,-0.1099,7.7151,0.12177
221,-0.1107,7.7254,0.12177
222,-0.1116,7.7357,0.12177
223,-0.1124,7.746,0.12176
224,-0.1132,7.7562,0.12176
225,-0.1141,7.7664,0.12176
226,-0.1149,7.7766,0.12176
227,-0.1157,7.7867,0.12177
228,-0.1165,7.7968,0.12177
229,-0.1173,7.8068,0.12177
230,-0.1181,7.8169,0.12177
231,-0.119,7.8268,0.12177
232,-0.1198,7.8368,0.12177
233,-0.1206,7.8467,0.12177
234,-0.1214,7.8566,0.12178
235,-0.1222,7.8664,0.12178
236,-0.1229,7.8762,0.12178
237,-0.1237,7.886,0.12178
238,-0.1245,7.8957,0.12179
239,-0.1253,7.9054,0.12179
240,-0.1261,7.9151,0.12179
241,-0.1269,7.9247,0.1218
242,-0.1276,7.9343,0.1218
243,-0.1284,7.9439,0.1218
244,-0.1292,7.9534,0.12181
245,-0.1299,7.9629,0.12181
246,-0.1307,7.9724,0.12182
247,-0.1314,7.9819,0.12182
248,-0.1322,7.9913,0.12182
249,-0.1329,8.0007,0.12183
250,-0.1337,8.01,0.12183
251,-0.1344,8.0193,0.12184
252,-0.1352,8.0286,0.12185
253,-0.1359,8.0379,0.12185
254,-0.1367,8.0471,0.12186
255,-0.1374,8.0563,0.12186
256,-0.1381,8.0655,0.12187
257,-0.1388,8.0746,0.12187
258,-0.1396,8.0837,0.12188
259,-0.1403,8.0928,0.12189
260,-0.141,8.1019,0.12189
261,-0.1417,8.1109,0.1219
262,-0.1424,8.1199,0.1219
263,-0.1431,8.1289,0.12191
264,-0.1438,8.1378,0.12192
265,-0.1445,8.1468,0.12192
266,-0.1452,8.1557,0.12193
267,-0.1459,8.1645,0.12194
268,-0.1466,8.1734,0.12194
269,-0.1473,8.1822,0.12195
270,-0.148,8.191,0.12196
271,-0.1487,8.1998,0.12197
272,-0.1494,8.2085,0.12197
273,-0.1501,8.2172,0.12198
274,-0.1507,8.2259,0.12199
275,-0.1514,8.2346,0.12199
276,-0.1521,8.2432,0.122
277,-0.1528,8.2519,0.12201
278,-0.1534,8.2605,0.12202
279,-0.1541,8.269,0.12202
280,-0.1547,8.2776,0.12203
281,-0.1554,8.2861,0.12204
282,-0.1561,8.2946,0.12205
283,-0.1567,8.3031,0.12206
284,-0.1574,8.3116,0.12206
285,-0.158,8.3201,0.12207
286,-0.1587,8.3285,0.12208
287,-0.1593,8.3369,0.12209
288,-0.1599,8.3453,0.12209
289,-0.1606,8.3536,0.1221
290,-0.1612,8.362,0.12211
291,-0.1618,8.3703,0.12212
292,-0.1625,8.3786,0.12213
293,-0.1631,8.3869,0.12213
294,-0.1637,8.3952,0.12214
295,-0.1643,8.4035,0.12215
296,-0.165,8.4117,0.12216
297,-0.1656,8.4199,0.12217
298,-0.1662,8.4281,0.12218
299,-0.1668,8.4363,0.12218
300,-0.1674,8.4445,0.12219
301,-0.168,8.4526,0.1222
302,-0.1686,8.4607,0.12221
303,-0.1692,8.4688,0.12222
304,-0.1698,8.4769,0.12222
305,-0.1704,8.485,0.12223
306,-0.171,8.4931,0.12224
307,-0.1716,8.5011,0.12225
308,-0.1722,8.5092,0.12226
309,-0.1728,8.5172,0.12227
310,-0.1734,8.5252,0.12227
311,-0.174,8.5332,0.12228
312,-0.1745,8.5411,0.12229
313,-0.1751,8.5491,0.1223
314,-0.1757,8.557,0.12231
315,-0.1763,8.565,0.12231
316,-0.1768,8.5729,0.12232
317,-0.1774,8.5808,0.12233
318,-0.178,8.5887,0.12234
319,-0.1785,8.5965,0.12235
320,-0.1791,8.6044,0.12235
321,-0.1797,8.6122,0.12236
322,-0.1802,8.6201,0.12237
323,-0.1808,8.6279,0.12238
324,-0.1813,8.6357,0.12239
325,-0.1819,8.6435,0.12239
326,-0.1824,8.6512,0.1224
327,-0.183,8.659,0.12241
328,-0.1835,8.6667,0.12242
329,-0.1841,8.6745,0.12243
330,-0.1846,8.6822,0.12243
331,-0.1851,8.6899,0.12244
332,-0.1857,8.6976,0.12245
333,-0.1862,8.7053,0.12246
334,-0.1867,8.713,0.12246
335,-0.1873,8.7207,0.12247
336,-0.1878,8.7283,0.12248
337,-0.1883,8.736,0.12249
338,-0.1889,8.7436,0.12249
339,-0.1894,8.7512,0.1225
340,-0.1899,8.7588,0.12251
341,-0.1904,8.7664,0.12252
342,-0.1909,8.774,0.12252
343,-0.1914,8.7816,0.12253
344,-0.192,8.7892,0.12254
345,-0.1925,8.7968,0.12254
346,-0.193,8.8043,0.12255
347,-0.1935,8.8119,0.12256
348,-0.194,8.8194,0.12256
349,-0.1945,8.8269,0.12257
350,-0.195,8.8344,0.12258
351,-0.1955,8.842,0.12259
352,-0.196,8.8495,0.12259
353,-0.1965,8.8569,0.1226
354,-0.197,8.8644,0.12261
355,-0.1974,8.8719,0.12261
356,-0.1979,8.8794,0.12262
357,-0.1984,8.8868,0.12262
358,-0.1989,8.8943,0.12263
359,-0.1994,8.9017,0.12264
360,-0.1999,8.9092,0.12264
361,-0.2003,8.9166,0.12265
362,-0.2008,8.924,0.12266
363,-0.2013,8.9314,0.12266
364,-0.2018,8.9388,0.12267
365,-0.2022,8.9462,0.12267
366,-0.2027,8.9536,0.12268
367,-0.2032,8.961,0.12269
368,-0.2036,8.9684,0.12269
369,-0.2041,8.9757,0.1227
370,-0.2046,8.9831,0.1227
371,-0.205,8.9904,0.12271
372,-0.2055,8.9978,0.12272
373,-0.2059,9.0051,0.12272
374,-0.2064,9.0125,0.12273
375,-0.2068,9.0198,0.12273
376,-0.2073,9.0271,0.12274
377,-0.2077,9.0344,0.12274
378,-0.2082,9.0417,0.12275
379,-0.2086,9.049,0.12275
380,-0.2091,9.0563,0.12276
381,-0.2095,9.0636,0.12276
382,-0.21,9.0709,0.12277
383,-0.2104,9.0782,0.12277
384,-0.2108,9.0854,0.12278
385,-0.2113,9.0927,0.12278
386,-0.2117,9.0999,0.12279
387,-0.2121,9.1072,0.12279
388,-0.2126,9.1144,0.1228
389,-0.213,9.1217,0.1228
390,-0.2134,9.1289,0.12281
391,-0.2139,9.1361,0.12281
392,-0.2143,9.1434,0.12282
393,-0.2147,9.1506,0.12282
394,-0.2151,9.1578,0.12282
395,-0.2155,9.165,0.12283
396,-0.216,9.1722,0.12283
397,-0.2164,9.1794,0.12284
398,-0.2168,9.1866,0.12284
399,-0.2172,9.1938,0.12285
400,-0.2176,9.2009,0.12285
401,-0.218,9.2081,0.12285
402,-0.2184,9.2153,0.12286
403,-0.2188,9.2225,0.12286
404,-0.2192,9.2296,0.12287
405,-0.2196,9.2368,0.12287
406,-0.22,9.2439,0.12287
407,-0.2204,9.2511,0.12288
408,-0.2208,9.2582,0.12288
409,-0.2212,9.2654,0.12288
410,-0.2216,9.2725,0.12289
411,-0.222,9.2796,0.12289
412,-0.2224,9.2867,0.12289
413,-0.2228,9.2939,0.1229
414,-0.2232,9.301,0.1229
415,-0.2236,9.3081,0.1229
416,-0.224,9.3152,0.12291
417,-0.2243,9.3223,0.12291
418,-0.2247,9.3294,0.12291
419,-0.2251,9.3365,0.12292
420,-0.2255,9.3436,0.12292
421,-0.2259,9.3507,0.12292
422,-0.2262,9.3578,0.12292
423,-0.2266,9.3649,0.12293
424,-0.227,9.372,0.12293
425,-0.2274,9.379,0.12293
426,-0.2277,9.3861,0.12294
427,-0.2281,9.3932,0.12294
428,-0.2285,9.4002,0.12294
429,-0.2288,9.4073,0.12294
430,-0.2292,9.4144,0.12295
431,-0.2296,9.4214,0.12295
432,-0.2299,9.4285,0.12295
433,-0.2303,9.4355,0.12295
434,-0.2307,9.4426,0.12295
435,-0.231,9.4496,0.12296
436,-0.2314,9.4567,0.12296
437,-0.2317,9.4637,0.12296
438,-0.2321,9.4707,0.12296
439,-0.2324,9.4778,0.12296
440,-0.2328,9.4848,0.12297
441,-0.2331,9.4918,0.12297
442,-0.2335,9.4988,0.12297
443,-0.2338,9.5058,0.12297
444,-0.2342,9.5129,0.12297
445,-0.2345,9.5199,0.12298
446,-0.2349,9.5269,0.12298
447,-0.2352,9.5339,0.12298
448,-0.2355,9.5409,0.12298
449,-0.2359,9.5479,0.12298
450,-0.2362,9.5549,0.12298
451,-0.2366,9.5619,0.12299
452,-0.2369,9.5689,0.12299
453,-0.2372,9.5759,0.12299
454,-0.2376,9.5829,0.12299
455,-0.2379,9.5898,0.12299
456,-0.2382,9.5968,0.12299
457,-0.2385,9.6038,0.12299
458,-0.2389,9.6108,0.123
459,-0.2392,9.6178,0.123
460,-0.2395,9.6247,0.123
461,-0.2398,9.6317,0.123
462,-0.2402,9.6387,0.123
463,-0.2405,9.6457,0.123
464,-0.2408,9.6526,0.123
465,-0.2411,9.6596,0.123
466,-0.2414,9.6665,0.12301
467,-0.2418,9.6735,0.12301
468,-0.2421,9.6805,0.12301
469,-0.2424,9.6874,0.12301
470,-0.2427,9.6944,0.12301
471,-0.243,9.7013,0.12301
472,-0.2433,9.7083,0.12301
473,-0.2436,9.7152,0.12301
474,-0.2439,9.7222,0.12301
475,-0.2442,9.7291,0.12302
476,-0.2446,9.7361,0.12302
477,-0.2449,9.743,0.12302
478,-0.2452,9.75,0.12302
479,-0.2455,9.7569,0.12302
480,-0.2458,9.7638,0.12302
481,-0.2461,9.7708,0.12302
482,-0.2464,9.7777,0.12302
483,-0.2467,9.7846,0.12302
484,-0.247,9.7916,0.12302
485,-0.2472,9.7985,0.12303
486,-0.2475,9.8054,0.12303
487,-0.2478,9.8124,0.12303
488,-0.2481,9.8193,0.12303
489,-0.2484,9.8262,0.12303
490,-0.2487,9.8331,0.12303
491,-0.249,9.8401,0.12303
492,-0.2493,9.847,0.12303
493,-0.2496,9.8539,0.12303
494,-0.2499,9.8608,0.12303
495,-0.2501,9.8677,0.12303
496,-0.2504,9.8746,0.12304
497,-0.2507,9.8816,0.12304
498,-0.251,9.8885,0.12304
499,-0.2513,9.8954,0.12304
500,-0.2515,9.9023,0.12304
501,-0.2518,9.9092,0.12304
502,-0.2521,9.9161,0.12304
503,-0.2524,9.923,0.12304
504,-0.2526,9.9299,0.12304
505,-0.2529,9.9368,0.12304
506,-0.2532,9.9437,0.12304
507,-0.2535,9.9506,0.12305
508,-0.2537,9.9575,0.12305
509,-0.254,9.9644,0.12305
510,-0.2543,9.9713,0.12305
511,-0.2545,9.9782,0.12305
512,-0.2548,9.9851,0.12305
513,-0.2551,9.992,0.12305
514,-0.2553,9.9989,0.12305
515,-0.2556,10.0058,0.12305
516,-0.2558,10.0127,0.12305
517,-0.2561,10.0196,0.12305
518,-0.2564,10.0265,0.12306
519,-0.2566,10.0334,0.12306
520,-0.2569,10.0402,0.12306
521,-0.2571,10.0471,0.12306
522,-0.2574,10.054,0.12306
523,-0.2577,10.0609,0.12306
524,-0.2579,10.0678,0.12306
525,-0.2582,10.0746,0.12306
526,-0.2584,10.0815,0.12306
527,-0.2587,10.0884,0.12307
528,-0.2589,10.0953,0.12307
529,-0.2592,10.1021,0.12307
530,-0.2594,10.109,0.12307
531,-0.2597,10.1159,0.12307
532,-0.2599,10.1227,0.12307
533,-0.2601,10.1296,0.12307
534,-0.2604,10.1365,0.12307
535,-0.2606,10.1433,0.12308
536,-0.2609,10.1502,0.12308
537,-0.2611,10.157,0.12308
538,-0.2614,10.1639,0.12308
539,-0.2616,10.1707,0.12308
540,-0.2618,10.1776,0.12308
541,-0.2621,10.1845,0.12308
542,-0.2623,10.1913,0.12309
543,-0.2625,10.1982,0.12309
544,-0.2628,10.205,0.12309
545,-0.263,10.2119,0.12309
546,-0.2632,10.2187,0.12309
547,-0.2635,10.2255,0.12309
548,-0.2637,10.2324,0.12309
549,-0.2639,10.2392,0.1231
550,-0.2642,10.2461,0.1231
551,-0.2644,10.2529,0.1231
552,-0.2646,10.2597,0.1231
553,-0.2649,10.2666,0.1231
554,-0.2651,10.2734,0.1231
555,-0.2653,10.2803,0.12311
556,-0.2655,10.2871,0.12311
557,-0.2658,10.2939,0.12311
558,-0.266,10.3008,0.12311
559,-0.2662,10.3076,0.12311
560,-0.2664,10.3144,0.12311
561,-0.2666,10.3213,0.12312
562,-0.2669,10.3281,0.12312
563,-0.2671,10.3349,0.12312
564,-0.2673,10.3417,0.12312
565,-0.2675,10.3486,0.12312
